ICAO;City;Airport name;Country;Latitude;Longtitude;Time Difference
KSGR;Sugar Land;Sugar Land Regional Airport;United States;29.622299194336;-95.65650177002;-6
KAPA;Denver;Centennial Airport;United States;39.57009888;-104.848999;-7
KCVN;Clovis;Clovis Municipal Airport;United States;34.4250984192;-103.07900238;-7
KFST;Fort Stockton;Fort Stockton Pecos County Airport;United States;30.9157009125;-102.916000366;-6
KLVS;Las Vegas;Las Vegas Municipal Airport;United States;35.6542015076;-105.141998291;-7
KIWS;Houston;West Houston Airport;United States;29.818199157699997;-95.67259979250001;-6
KLHX;La Junta;La Junta Municipal Airport;United States;38.04970169;-103.5090027;-7
KLRU;Las Cruces;Las Cruces International Airport;United States;32.289398193359375;-106.9219970703125;-7
KBKD;Breckenridge;Stephens County Airport;United States;32.71900177;-98.89099884030001;-6
KTPL;Temple;Draughon Miller Central Texas Regional Airport;United States;31.15250015258789;-97.40779876708984;-6
KOZA;Ozona;Ozona Municipal Airport;United States;30.735300064087;-101.20300292969;-6
KEGE;Vail;Eagle County Regional Airport;United States;39.64260101;-106.9179993;-7
KCGF;Richmond Heights;Cuyahoga County Airport;United States;41.5651016235;-81.4863967896;-5
KMFD;Mansfield;Mansfield Lahm Regional Airport;United States;40.82139968869999;-82.5166015625;-5
KCSG;Columbus;Columbus Metropolitan Airport;United States;32.516300201416016;-84.93890380859375;-5
KLAW;Lawton;Lawton Fort Sill Regional Airport;United States;34.5676994324;-98.4166030884;-6
KFNL;Fort Collins;Northern Colorado Regional Airport;United States;40.451804;-105.011;-7
KFLG;Flagstaff;Flagstaff Pulliam Airport;United States;35.13850021;-111.6709976;-7
KTVL;South Lake Tahoe;Lake Tahoe Airport;United States;38.89390182495117;-119.99500274658203;-8
KTWF;Twin Falls;Joslin Field Magic Valley Regional Airport;United States;42.4818;-114.487999;-7
KMVY;Vineyard Haven MA;Martha's Vineyard Airport;United States;41.3931007385;-70.6143035889;-5
KCON;Concord NH;Concord Municipal Airport;United States;43.20270157;-71.50229645;-5
KGON;Groton CT;Groton New London Airport;United States;41.330101013183594;-72.04509735107422;-5
KSTC;Saint Cloud;St Cloud Regional Airport;United States;45.546600341796875;-94.05989837646484;-6
KGTR;Columbus Mississippi;Golden Triangle Regional Airport;United States;33.450298309299995;-88.5914001465;-6
KHQM;Hoquiam;Bowerman Airport;United States;46.971199035599994;-123.93699646;-8
KERI;Erie;Erie International Tom Ridge Field;United States;42.0831270134;-80.1738667488;-5
KHYA;Barnstable;Barnstable Municipal Boardman Polando Field;United States;41.66930008;-70.28040314;-5
KSEZ;Sedona;Sedona Airport;United States;34.848598480225;-111.78800201416;-7
KMGW;Morgantown;Morgantown Municipal Walter L. Bill Hart Field;United States;39.64289856;-79.91629791;-5
KCRW;Charleston;Yeager Airport;United States;38.37310028076172;-81.59320068359375;-5
KAVP;Scranton;Wilkes Barre Scranton International Airport;United States;41.338500976599995;-75.72339630130001;-5
KBJI;Bemidji;Bemidji Regional Airport;United States;47.50939941;-94.93370056;-6
KFAR;Fargo;Hector International Airport;United States;46.92070007324219;-96.81580352783203;-6
KMKC;Kansas City;Charles B. Wheeler Downtown Airport;United States;39.123199462890625;-94.5927963256836;-6
KGCC;Gillette;Gillette Campbell County Airport;United States;44.348899841299996;-105.539001465;-7
KNZJ;Santa Ana;El Toro Marine Corps Air Station;United States;33.67610168457031;-117.73100280761719;-8
KUNV;State College Pennsylvania;University Park Airport;United States;40.8493003845;-77.84870147710001;-5
KMEI;Meridian;Key Field;United States;32.33259963989258;-88.75189971923828;-6
KSPI;Springfield;Abraham Lincoln Capital Airport;United States;39.84410095;-89.67790222;-6
KCEZ;Cortez;Cortez Municipal Airport;United States;37.3030014038;-108.627998352;-7
KHDN;Hayden;Yampa Valley Airport;United States;40.48120117;-107.2180023;-7
KGUP;Gallup;Gallup Municipal Airport;United States;35.511100769;-108.789001465;-7
KLBL;Liberal;Liberal Mid-America Regional Airport;United States;37.0442009;-100.9599991;-6
KLAA;Lamar;Lamar Municipal Airport;United States;38.069698333699996;-102.68800354;-7
KGLD;Goodland;Renner Field-Goodland Municipal Airport;United States;39.37060165;-101.6989975;-7
KCOD;Cody;Yellowstone Regional Airport;United States;44.520198822;-109.024002075;-7
KSGF;Springfield;Springfield Branson National Airport;United States;37.24570084;-93.38860321;-6
KJLN;Joplin;Joplin Regional Airport;United States;37.151798248291016;-94.49829864501953;-6
KABE;Allentown;Lehigh Valley International Airport;United States;40.652099609375;-75.44080352783203;-5
KXNA;Bentonville;Northwest Arkansas Regional Airport;United States;36.281898;-94.306801;-6
KSBN;South Bend;South Bend Regional Airport;United States;41.70869827270508;-86.31729888916016;-5
KSMD;Fort Wayne IN;Smith Field;United States;41.14339828;-85.15280151;-5
KACV;Arcata CA;California Redwood Coast-Humboldt County Airport;United States;40.978101;-124.109;-8
KOAJ;Jacksonville NC;Albert J Ellis Airport;United States;34.8292007446;-77.61209869380001;-5
KTCL;Tuscaloosa AL;Tuscaloosa Regional Airport;United States;33.220600128174;-87.611396789551;-6
KDBQ;Dubuque IA;Dubuque Regional Airport;United States;42.40200043;-90.70950317;-6
KABR;Aberdeen;Aberdeen Regional Airport;United States;45.449100494384766;-98.42179870605469;-6
KABY;Albany;Southwest Georgia Regional Airport;United States;31.535499572753906;-84.19450378417969;-5
KAHN;Athens;Athens Ben Epps Airport;United States;33.94860076904297;-83.32630157470703;-5
KALM;Alamogordo;Alamogordo White Sands Regional Airport;United States;32.8399009705;-105.990997314;-7
KALO;Waterloo;Waterloo Regional Airport;United States;42.557098388671875;-92.40029907226562;-6
KALW;Walla Walla;Walla Walla Regional Airport;United States;46.09489822;-118.288002;-8
