SAOM;Argentina;Marcos Juarez Airport;-32.6836;-62.157801;-3;N
SAOR;Argentina;Villa Reynolds Airport;-33.7299003601;-65.3873977661;-3;N
SAOU;Argentina;Brigadier Mayor D Cesar Raul Ojeda Airport;-33.2732009888;-66.3563995361;-3;N
SARC;Argentina;Corrientes Airport;-27.4455;-58.7619;-3;N
SARE;Argentina;Resistencia International Airport;-27.45;-59.0561;-3;N
SARF;Argentina;Formosa Airport;-26.2127;-58.2281;-3;N
SARI;Argentina;Cataratas Del Iguazú International Airport;-25.737301;-54.4734;-3;N
SARL;Argentina;Paso De Los Libres Airport;-29.6894;-57.1521;-3;N
SARM;Argentina;Monte Caseros Airport;-30.2719;-57.6402;-3;N
SARP;Argentina;Libertador Gral D Jose De San Martin Airport;-27.3858;-55.9707;-3;N
SARS;Argentina;Termal Airport;-26.753611;-60.492222;-3;N
SASA;Argentina;Martin Miguel De Guemes International Airport;-24.856000900299996;-65.4861984253;-3;N
SASJ;Argentina;Gobernador Horacio Guzman International Airport;-24.392799;-65.097801;-3;N
SASO;Argentina;Orán Airport;-23.1527996063;-64.3292007446;-3;N
SASQ;Argentina;Laboulaye Airport;-34.1353988647;-63.36230087279999;-3;N
SATD;Argentina;El Dorado Airport;-26.3974990845;-54.5746994019;-3;N
SATG;Argentina;Goya Airport;-29.1058;-59.2189;-3;N
SATO;Argentina;Oberá Airport;-27.5181999207;-55.1241989136;-3;N
SATR;Argentina;Reconquista Airport;-29.2103;-59.68;-3;N
SATU;Argentina;Curuzu Cuatia Airport;-29.7706;-57.9789;-3;N
SAVB;Argentina;El Bolson Airport;-41.9431991577;-71.5323028564;-3;N
SAVC;Argentina;General E. Mosconi Airport;-45.7853;-67.4655;-3;N
SAVE;Argentina;Brigadier Antonio Parodi Airport;-42.908000946;-71.139503479;-3;N
SAVT;Argentina;Almirante Marco Andres Zar Airport;-43.2105;-65.2703;-3;N
SAVV;Argentina;Gobernador Castello Airport;-40.8692;-63.0004;-3;N
SAVY;Argentina;El Tehuelche Airport;-42.7592;-65.1027;-3;N
SAWD;Argentina;Puerto Deseado Airport;-47.7353;-65.9041;-3;N
SAWE;Argentina;Hermes Quijada International Airport;-53.7777;-67.7494;-3;N
SAWG;Argentina;Piloto Civil N. Fernández Airport;-51.6089;-69.3126;-3;N
SAWH;Argentina;Malvinas Argentinas Airport;-54.8433;-68.2958;-3;N
SAWJ;Argentina;Capitan D Daniel Vazquez Airport;-49.3068;-67.8026;-3;N
SAWP;Argentina;Perito Moreno Airport;-46.537899;-70.978699;-3;N
SAWU;Argentina;Santa Cruz Airport;-50.0165;-68.5792;-3;N
SAZB;Argentina;Comandante Espora Airport;-38.725;-62.1693;-3;N
SAZC;Argentina;Brigadier D.H.E. Ruiz Airport;-37.446098;-61.889301;-3;N
SAZF;Argentina;Olavarria Airport;-36.8899993896;-60.216598510699995;-3;N
SAZG;Argentina;General Pico Airport;-35.6962013245;-63.7583007812;-3;N
SAZH;Argentina;Tres Arroyos Airport;-38.3869;-60.3297;-3;N
SAZI;Argentina;Bolivar Airport;-36.1866;-61.0764;-3;N
SAZM;Argentina;Ástor Piazzola International Airport;-37.9342;-57.5733;-3;N
SAZN;Argentina;Presidente Peron Airport;-38.949001;-68.155701;-3;N
SAZP;Argentina;Comodoro Pedro Zanni Airport;-35.8446;-61.8576;-3;N
SAZR;Argentina;Santa Rosa Airport;-36.588299;-64.275703;-3;N
SAZS;Argentina;San Carlos De Bariloche Airport;-41.151199;-71.157501;-3;N
SAZT;Argentina;Héroes De Malvinas Airport;-37.2374000549;-59.2279014587;-3;N
SAZV;Argentina;Villa Gesell Airport;-37.2354;-57.0292;-3;N
SAZW;Argentina;Cutral-Co Airport;-38.939701080300004;-69.2646026611;-3;N
SAZY;Argentina;Aviador C. Campos Airport;-40.075401;-71.137299;-3;N
SAEZ;Argentina;Ministro Pistarini International Airport;-34.8222;-58.5358;-3;N
SAWC;Argentina;El Calafate Airport;-50.2803;-72.053101;-3;N
SAST;Argentina;General Enrique Mosconi Airport;-22.619600296;-63.7937011719;-3;N
SAVH;Argentina;Las Heras Airport;-46.53829956049999;-68.9653015137;-3;N
SAVN;Argentina;Antoine de Saint Exupéry Airport;-40.7512;-65.0343;-3;N
SAWA;Argentina;Lago Argentino Airport;-50.336102;-72.248596;-3;N
SAWR;Argentina;Gobernador Gregores Airport;-48.7831;-70.150002;-3;N
SAZL;Argentina;Santa Teresita Airport;-36.5423;-56.7218;-3;N
SAZO;Argentina;Necochea Airport;-38.4831;-58.8172;-3;N
SAHZ;Argentina;Zapala Airport;-38.975498;-70.113602;-3;N
SAHS;Argentina;Rincon De Los Sauces Airport;-37.3905982971;-68.9041976929;-3;N
SAVS;Argentina;Sierra Grande Airport;-41.5917015076;-65.33940124509999;-3;N
SAVJ;Argentina;Cabo F.A.A. H. R. Bordón Airport;-41.320899963399995;-69.5748977661;-3;N
SAVR;Argentina;D. Casimiro Szlapelis Airport;-45.013599;-70.812202;-3;N
SAWS;Argentina;Jose De San Martin Airport;-44.048599243199995;-70.4589004517;-3;N
SANR;Argentina;Termas de Río Hondo international Airport;-27.4966;-64.93595;-3;S
SAWL;Argentina;Tolwin Observatory Airport;-54.521900177;-67.1989974976;-3;S
SAOV;Argentina;Presidente Néstor Kirchner Regionsl Airport;-32.3201;-63.22663;\N;\N
SAFS;Argentina;Sunchales Aeroclub Airport;-30.9575;-61.5283;-3;N
